Kelime;KordinatX;KordinatY
çocuk;894.619;1.560.314
sokak;927.122;1.139.659
sokak hayvan;877.504;941.740
insan;877.020;1.282.192
yardım;963.095;1.236.234
iyilik;839.469;1.268.428
hayvan;837.506;975.929
ihtiyaç;862.167;1.186.448
yemek;906.594;1.099.324
gün;896.901;1.213.263
yer;962.699;1.142.219
mama;908.792;1.018.318
kitap;750.782;1.517.655
su;907.751;926.226
ev;1.046.791;996.756
evsiz;1.178.067;1.286.005
yaşlı;1.099.299;1.675.428
kedi;1.015.345;792.120
kişi;878.591;1.416.807
verme;806.918;1.271.914
gönüllü;724.214;1.208.731
kış;1.000.044;982.719
durum;894.473;1.310.057
okul;790.275;1.600.183
öğrenci;614.165;1.609.456
yiyecek;1.105.410;1.119.971
eğitim;561.309;1.599.348
barınak;774.432;892.316
sağlama;1.010.121;1.364.819
sahip;962.201;1.428.423
köpek;1.042.520;791.815
çöp;1.259.234;1.031.590
fikri;666.637;1.150.943
hayat;840.889;1.154.129
kıyafet;1.303.495;1.449.065
kap;883.778;798.549
proje;659.084;1.242.543
ay;741.163;1.044.813
çevre;1.349.086;1.208.790
destek;676.699;1.326.035
hava;1.109.385;886.662
kurum;572.847;1.465.640
oyuncak;1.531.309;1.593.944
hediye;721.822;1.834.099
arkadaş;483.052;1.467.947
bulunma;1.083.352;1.533.300
çalışma;556.119;1.339.713
konu;661.120;1.528.322
kahve;277.839;1.860.078
dost;931.865;750.461
alan;542.478;1.098.552
yapılma;695.015;847.275
zaman;675.158;1.666.371
yan;691.181;1.011.924
tanı;1.022.350;1.914.481
hasta;192.296;1.094.283
yuva;988.522;730.973
gerek;1.191.553;1.194.973
battaniye;1.200.191;925.378
şekil;490.739;1.003.916
para;1.350.301;1.328.805
okuma;389.609;1.450.313
engelli;509.447;1.932.588
vakit;1.006.624;1.645.176
etkinlik;381.880;1.263.430
ders;464.555;1.627.281
taraf;495.114;1.196.809
kalan;1.124.266;1.025.882
geçirme;851.862;1.667.433
toplum;248.760;1.566.597
sevgi;1.397.214;969.511
el;1.361.009;1.090.928
aile;228.752;1.392.882
dernek;0.00000;1.318.556
dışarı;1.258.053;822.394
doyurma;431.872;806.709
belediye;782.564;699.374
yol;1.247.077;1.596.621
market;566.893;830.291
kulübe;1.068.672;613.260
karın;1.291.581;1.713.151
karşılama;575.054;762.233
çalışan;932.997;1.735.625
amaç;503.031;1.276.619
yağmur;1.296.034;692.368
kutu;469.941;508.202
eşya;1.502.687;1.301.717
erzak;213.280;914.812
bölge;846.324;665.482
